Name,Season,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected XG,Expected NpxG,Expected XAG,Expected NpxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes XG,Per 90 Minutes XAG,Per 90 Minutes XG+xAG,Per 90 Minutes NpxG,Per 90 Minutes NpxG+xAG,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard FK,Standard PK,Standard PKatt,Expected NpxG/Sh,Expected G-xG,Expected Np:G-xG,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,XAG,Expected XA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Playing Time Mn/MP,Starts Starts,Starts Compl,Subs Subs,Subs UnSub,Team Success OnG,Team Success OnGA,Team Success +/-,Team Success +/-90,Team Success (xG) OnxG,Team Success (xG) OnxGA,Team Success (xG) XG+/-,Team Success (xG) XG+/-90,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Voting Points,Winner,League Winner,UCL Winner,Cup Winner,Major International Continental Trophy Winner,World Cup Winner,Vote Share Overall,Vote Share Outfield
Joshua Kimmich,2021-2022,26,1995,30,30,2609,29.0,3,9,12,3,0,0,4,0,2.3,2.3,8.7,11.0,43,292,53,0.10344827586206896,0.3103448275862069,0.41379310344827586,0.10344827586206896,0.41379310344827586,0.0793103448275862,0.3,0.3793103448275862,0.0793103448275862,0.3793103448275862,29.0,3,29,9,31.03448275862069,1.0,0.3103448275862069,0.10344827586206896,0.3333333333333333,0,0,0,0.0793103448275862,0.7,0.7,2177,2595,83.89210019267823,39188,13899,984,1080,91.11111111111111,893,999,89.38938938938938,250,406,61.57635467980296,9,8.7,10.6,0.3,80,246,56,4,292,2595,2260,318,126,20,16,194,39,153,80,56,2,2177,17,28,155,5.344827586206897,81,63,1,3,3,4,24,0.8275862068965517,9,13,0,0,1,1,39,23,14,17,8,18,58,31.03448275862069,40,34,8,26,55,91,29,1,2881,70,553,1630,718,28,2881,41,21,51.21951219512195,20,48.78048780487805,1566,7978,3641,43,43,1,32,18,1954,53,86.96666666666667,30,25,0,0,85,37,48,1.6551724137931034,71.4,30.9,40.5,1.396551724137931,0,22,49,1,194,55,23,0,1,0,218,16,18,47.05882352941176,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Joao Cancelo,2021-2022,27,1994,41,41,3644,40.5,1,7,8,1,0,0,7,0,4.0,4.0,5.4,9.3,125,357,270,0.024691358024691357,0.1728395061728395,0.19753086419753085,0.024691358024691357,0.19753086419753085,0.09876543209876543,0.13333333333333333,0.23209876543209879,0.09876543209876543,0.22962962962962966,40.5,1,86,23,26.744186046511626,2.123456790123457,0.5679012345679012,0.011627906976744186,0.043478260869565216,1,0,0,0.046511627906976744,-3.0,-3.0,2809,3365,83.47696879643388,44538,12620,1610,1732,92.95612009237875,938,1130,83.00884955752213,208,346,60.115606936416185,7,5.4,6.6,1.6,39,308,96,12,357,3365,3019,338,55,21,41,134,282,1,1,0,0,2809,8,59,126,3.111111111111111,98,1,8,16,2,1,18,0.4444444444444444,13,1,1,3,0,0,83,59,33,35,15,46,91,50.54945054945055,45,25,3,22,66,142,45,1,3769,67,618,1931,1245,101,3769,106,56,52.83018867924528,50,47.16981132075472,2411,11313,5785,125,129,36,45,24,2749,270,88.8780487804878,41,38,0,1,104,31,73,1.8024691358024691,80.9,23.7,57.2,1.4123456790123456,0,41,28,3,134,66,59,0,0,0,217,57,51,52.77777777777778,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Karim Benzema,2021-2022,33,1987,32,31,2593,28.8,27,12,39,20,7,11,0,0,23.7,15.1,7.9,23.0,88,177,252,0.9375,0.41666666666666663,1.3541666666666667,0.6944444444444444,1.1111111111111112,0.8229166666666666,0.2743055555555556,1.0972222222222223,0.5243055555555556,0.798611111111111,28.8,27,117,48,41.02564102564102,4.0625,1.6666666666666665,0.23076923076923078,0.5625,3,7,11,0.12905982905982905,3.3,4.9,1043,1245,83.77510040160642,13822,3030,670,739,90.66305818673884,249,290,85.86206896551725,56,76,73.68421052631578,12,7.9,7.4,4.1,62,76,82,1,177,1245,1175,57,4,6,10,10,2,8,0,0,0,1043,13,30,128,4.444444444444445,108,0,12,7,1,0,22,0.7638888888888888,16,0,5,1,0,0,11,9,5,3,3,2,9,22.22222222222222,7,10,0,10,4,15,13,0,1501,15,59,510,942,224,1490,51,36,70.58823529411765,15,29.411764705882355,976,4819,2440,88,66,41,35,24,1275,252,81.03125,31,18,1,1,65,23,42,1.4583333333333333,56.6,28.6,28.0,0.9722222222222222,0,13,9,31,10,4,9,0,0,0,44,18,30,37.5,549,1,1.0,1.0,0.0,0.0,0.0,0.3689516129032258,0.3904694167852062
Kevin De Bruyne,2021-2022,30,1991,33,28,2423,27.0,16,11,27,15,1,1,2,0,5.7,5.7,10.4,16.1,84,204,175,0.5925925925925926,0.4074074074074074,1.0,0.5555555555555556,0.9629629629629629,0.2111111111111111,0.3851851851851852,0.5962962962962963,0.2111111111111111,0.5962962962962963,27.0,16,85,33,38.82352941176471,3.1481481481481484,1.2222222222222223,0.18823529411764706,0.48484848484848486,7,1,1,0.06705882352941177,9.3,9.3,1170,1568,74.61734693877551,19948,5365,581,663,87.63197586726999,434,558,77.77777777777779,122,249,48.99598393574297,11,10.4,7.5,-2.4,87,143,65,10,204,1568,1389,169,49,20,19,200,20,96,44,15,3,1170,10,29,152,5.62962962962963,105,30,5,9,3,0,14,0.5185185185185185,10,3,1,0,0,0,32,18,4,15,13,12,37,32.432432432432435,25,32,2,30,8,38,16,0,1821,25,127,685,1027,107,1821,55,31,56.36363636363636,24,43.63636363636363,1126,5397,3213,84,85,20,40,20,1350,175,73.42424242424242,28,17,5,5,75,24,51,1.8888888888888888,52.0,17.6,34.4,1.274074074074074,0,22,28,4,200,8,18,0,0,0,114,11,18,37.93103448275862,175,0,1.0,0.0,0.0,0.0,0.0,0.1176075268817204,0.1244665718349928
Kylian Mbappe,2021-2022,22,1998,38,36,3260,36.2,33,17,50,28,5,5,10,0,23.8,20.7,12.6,33.4,210,107,449,0.9116022099447513,0.46961325966850825,1.3812154696132595,0.7734806629834253,1.2430939226519335,0.6574585635359116,0.3480662983425414,1.005524861878453,0.5718232044198894,0.9226519337016573,36.2,33,158,65,41.139240506329116,4.3646408839779,1.7955801104972375,0.2088607594936709,0.5076923076923077,3,5,5,0.1310126582278481,4.2,3.3,1139,1435,79.37282229965157,15413,2996,715,821,87.08891595615104,276,348,79.3103448275862,60,101,59.4059405940594,17,12.6,9.1,4.4,70,75,58,9,107,1435,1312,115,11,7,16,75,20,47,9,6,1,1139,8,28,181,5.0,115,10,30,13,12,1,40,1.1049723756906076,21,4,10,1,4,0,11,9,1,4,6,7,13,53.84615384615385,6,6,0,6,6,16,13,0,1902,17,48,631,1247,299,1898,205,112,54.63414634146342,92,44.87804878048781,1416,9443,5202,210,122,103,112,57,1623,449,85.78947368421052,36,26,2,0,92,30,62,1.7127071823204418,69.9,33.7,36.2,1.0,0,29,62,41,75,6,9,4,0,0,63,4,10,28.57142857142857,85,0,1.0,0.0,0.0,0.0,0.0,0.0571236559139784,0.0604551920341394
Luis Diaz,2021-2022,24,1997,36,31,2697,30.0,18,7,25,18,0,1,2,0,15.6,14.9,8.0,22.9,143,99,313,0.6,0.23333333333333334,0.8333333333333334,0.6,0.8333333333333334,0.52,0.26666666666666666,0.7866666666666667,0.4966666666666667,0.7633333333333333,30.0,18,109,41,37.61467889908257,3.6333333333333333,1.3666666666666667,0.1651376146788991,0.43902439024390244,1,0,1,0.13669724770642203,2.4,3.1,928,1127,82.34250221827861,13081,2808,575,652,88.19018404907976,265,318,83.33333333333334,51,65,78.46153846153847,7,8.0,5.6,-1.0,59,44,45,8,99,1127,1097,26,2,3,6,36,18,6,0,0,0,928,4,27,152,5.066666666666666,109,0,26,13,2,2,17,0.5666666666666667,11,0,4,2,0,0,21,15,5,11,5,7,21,33.33333333333333,14,18,0,18,10,29,8,0,1480,12,68,551,877,220,1479,122,77,63.114754098360656,45,36.885245901639344,1007,6770,3455,143,57,86,68,45,1150,313,74.91666666666667,31,9,5,3,75,17,58,1.9333333333333333,68.1,18.299999999999997,49.7,1.6566666666666667,0,44,46,12,36,10,15,1,0,0,127,48,46,51.06382978723404,1,0,1.0,0.0,1.0,0.0,0.0,0.0006720430107526,0.0007112375533428
Luka Modric,2021-2022,35,1985,30,26,2171,24.1,2,8,10,1,1,1,5,0,2.5,1.7,5.2,6.8,67,221,87,0.08298755186721991,0.33195020746887965,0.41493775933609955,0.04149377593360996,0.37344398340248963,0.10373443983402489,0.21576763485477177,0.31950207468879666,0.07053941908713693,0.2821576763485477,24.1,2,27,10,37.03703703703704,1.120331950207469,0.41493775933609955,0.07407407407407407,0.2,1,1,1,0.06296296296296296,-0.5,-0.7,1500,1706,87.92497069167644,25207,7617,753,799,94.24280350438048,517,571,90.54290718038528,165,219,75.34246575342466,8,5.2,5.1,2.8,37,188,38,3,221,1706,1587,112,64,11,35,50,12,30,10,7,0,1500,7,28,84,3.485477178423236,68,9,3,3,0,1,11,0.45643153526970953,8,1,0,2,0,0,18,10,8,7,3,6,27,22.22222222222222,21,10,4,6,21,38,9,0,1875,18,336,922,631,50,1874,48,32,66.66666666666666,16,33.33333333333333,1330,6778,3299,67,39,14,30,22,1495,87,72.36666666666666,26,7,4,2,49,22,27,1.120331950207469,42.0,24.4,17.6,0.7302904564315353,0,25,34,1,50,21,10,0,0,0,123,6,14,30.0,20,0,1.0,1.0,0.0,0.0,0.0,0.0134408602150537,0.0142247510668563
Mohamed Salah,2021-2022,29,1992,37,32,2884,32.1,23,13,36,18,5,6,1,0,22.7,17.8,10.0,27.8,125,122,451,0.7165109034267912,0.40498442367601245,1.1214953271028036,0.5607476635514018,0.9657320872274143,0.7071651090342679,0.3115264797507788,1.0186915887850467,0.5545171339563862,0.8660436137071651,32.1,23,137,50,36.496350364963504,4.26791277258567,1.557632398753894,0.1678832116788321,0.46,1,5,6,0.1299270072992701,0.3,0.2,875,1136,77.02464788732394,11516,3063,567,648,87.5,233,309,75.40453074433657,29,49,59.183673469387756,13,10.0,7.4,3.0,62,46,57,4,122,1136,1112,15,1,18,3,43,7,1,1,0,0,875,9,38,141,4.392523364485981,104,0,17,18,2,0,25,0.778816199376947,17,0,5,2,1,0,17,8,5,9,3,6,19,31.57894736842105,13,7,1,6,7,23,5,0,1552,7,55,455,1056,301,1546,124,53,42.74193548387097,71,57.25806451612904,1030,5898,2909,125,57,97,99,81,1300,451,77.94594594594595,32,26,5,0,81,24,57,1.7757009345794392,75.7,27.1,48.6,1.514018691588785,0,13,23,14,43,7,8,2,0,0,86,7,33,17.5,116,0,0.0,0.0,1.0,0.0,0.0,0.0779569892473118,0.0825035561877667
Phil Foden,2021-2022,21,2000,32,27,2412,26.8,10,7,17,10,0,0,1,0,9.4,9.4,6.3,15.7,71,98,248,0.3731343283582089,0.26119402985074625,0.6343283582089552,0.3731343283582089,0.6343283582089552,0.35074626865671643,0.23507462686567163,0.585820895522388,0.35074626865671643,0.585820895522388,26.8,10,63,25,39.682539682539684,2.3507462686567164,0.9328358208955224,0.15873015873015872,0.4,0,0,0,0.1492063492063492,-0.4,-0.4,881,1102,79.94555353901997,12909,2621,542,595,91.09243697478992,235,294,79.93197278911565,56,115,48.69565217391305,7,6.3,5.3,-1.3,40,50,37,9,98,1102,995,104,19,7,8,139,7,65,32,23,0,881,3,32,89,3.3208955223880596,63,13,3,7,2,1,13,0.48507462686567165,8,3,0,2,0,0,16,10,10,4,2,7,17,41.17647058823529,10,9,0,9,14,27,5,0,1303,6,66,426,820,137,1303,58,37,63.793103448275865,21,36.206896551724135,872,4436,1941,71,43,39,48,34,1023,248,75.375,27,17,5,5,69,20,49,1.828358208955224,52.4,14.7,37.7,1.4067164179104479,0,18,25,15,139,14,10,0,0,0,83,5,27,15.625,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rafael Leao,2021-2022,22,1999,38,34,2890,32.1,13,11,24,13,0,0,4,0,8.8,8.8,6.8,15.5,161,101,218,0.40498442367601245,0.3426791277258567,0.7476635514018691,0.40498442367601245,0.7476635514018691,0.2741433021806854,0.2118380062305296,0.48598130841121495,0.2741433021806854,0.48286604361370716,32.1,13,107,44,41.1214953271028,3.333333333333333,1.3707165109034267,0.12149532710280374,0.29545454545454547,0,0,0,0.08224299065420561,2.2,2.2,555,787,70.52096569250318,9136,2681,284,368,77.17391304347827,187,244,76.63934426229508,60,84,71.42857142857143,11,6.8,4.9,3.2,45,46,48,12,101,787,759,21,3,4,9,67,14,2,0,0,0,555,7,38,113,3.5202492211838003,65,0,28,9,11,0,19,0.5919003115264797,13,0,5,0,1,0,17,9,3,9,5,10,20,50.0,10,12,1,11,12,29,8,0,1166,12,58,434,707,172,1166,163,98,60.122699386503065,65,39.87730061349693,808,7959,4496,161,109,69,71,50,914,218,76.05263157894737,34,13,4,1,60,23,37,1.1526479750778815,46.3,24.1,22.3,0.6947040498442367,0,26,51,8,67,12,9,2,0,0,99,28,37,43.07692307692308,2,0,1.0,0.0,0.0,0.0,0.0,0.0013440860215053,0.0014224751066856
Riyad Mahrez,2021-2022,30,1991,32,17,1701,18.9,15,6,21,10,5,6,0,0,10.1,6.2,4.2,10.4,74,70,234,0.7936507936507937,0.3174603174603175,1.1111111111111112,0.5291005291005292,0.8465608465608466,0.5343915343915344,0.22222222222222224,0.7566137566137567,0.3280423280423281,0.5502645502645503,18.9,15,69,24,34.78260869565217,3.650793650793651,1.26984126984127,0.21739130434782608,0.625,6,5,6,0.08985507246376812,0.9,0.8,777,947,82.04857444561775,11969,2132,443,486,91.1522633744856,264,313,84.34504792332268,53,102,51.9607843137255,6,4.2,3.8,0.8,39,27,34,6,70,947,842,99,11,7,6,110,18,70,42,0,1,777,6,14,73,3.8624338624338628,55,12,1,4,1,0,10,0.5291005291005292,7,2,0,1,0,0,11,6,5,4,2,5,19,26.31578947368421,14,15,1,14,6,17,6,0,1135,11,81,318,746,127,1130,50,26,52.0,24,48.0,775,4744,2037,74,35,44,42,21,847,234,53.15625,17,11,15,8,53,15,38,2.0105820105820107,43.1,11.7,31.4,1.6613756613756614,0,11,16,4,110,6,6,0,0,0,70,8,14,36.36363636363637,4,0,1.0,0.0,0.0,0.0,0.0,0.0026881720430107,0.0028449502133712
Robert Lewandowski,2021-2022,32,1988,35,35,3036,33.7,35,3,38,30,5,5,2,0,33.2,29.3,4.4,33.7,46,81,268,1.0385756676557862,0.08902077151335311,1.1275964391691393,0.890207715133531,0.9792284866468842,0.9851632047477745,0.13056379821958458,1.115727002967359,0.8694362017804154,1.0,33.7,35,157,76,48.40764331210191,4.6587537091988125,2.2551928783382786,0.2229299363057325,0.4605263157894737,3,5,5,0.18662420382165607,1.8,0.7,575,767,74.96740547588006,7309,1585,362,441,82.08616780045351,146,193,75.64766839378238,21,40,52.5,3,4.4,4.8,-1.4,37,38,30,3,81,767,733,29,7,10,4,26,1,0,0,0,0,575,5,26,109,3.2344213649851628,63,1,18,16,10,1,15,0.4451038575667655,8,0,3,3,1,0,10,3,0,6,4,5,17,29.411764705882355,12,17,2,15,7,16,8,0,1160,14,46,438,685,242,1155,81,47,58.0246913580247,34,41.9753086419753,685,3274,1241,46,31,21,83,55,917,268,86.74285714285715,35,29,0,0,92,41,51,1.5133531157270028,84.8,35.3,49.4,1.465875370919881,0,23,39,23,26,7,3,1,0,0,72,53,58,47.74774774774775,170,0,1.0,0.0,0.0,0.0,0.0,0.1142473118279569,0.1209103840682788
Sadio Mane,2021-2022,29,1992,37,34,3030,33.6,18,2,20,18,0,0,6,0,17.2,17.2,5.2,22.5,105,130,305,0.5357142857142857,0.05952380952380952,0.5952380952380952,0.5357142857142857,0.5952380952380952,0.5119047619047619,0.15476190476190477,0.6666666666666666,0.5119047619047619,0.6696428571428571,33.6,18,101,40,39.603960396039604,3.005952380952381,1.1904761904761905,0.1782178217821782,0.45,0,0,0,0.17029702970297028,-1.2,-1.2,818,1100,74.36363636363636,12061,2748,460,550,83.63636363636363,274,360,76.11111111111111,44,67,65.67164179104478,2,5.2,4.4,-3.2,41,63,61,5,130,1100,1082,12,3,16,3,53,8,0,0,0,0,818,6,41,114,3.392857142857143,79,0,8,17,10,0,13,0.38690476190476186,7,0,1,4,1,0,33,20,7,14,12,8,26,30.76923076923077,18,30,1,29,8,41,15,0,1492,20,94,617,806,201,1492,77,47,61.038961038961034,29,37.66233766233766,1027,5897,2663,105,57,45,104,59,1218,305,81.89189189189189,34,26,3,0,79,25,54,1.607142857142857,74.1,28.1,46.0,1.369047619047619,0,54,58,20,53,8,20,1,0,0,109,30,50,37.5,193,0,0.0,0.0,1.0,1.0,0.0,0.1297043010752688,0.1372688477951635
Son Heung-min,2021-2022,29,1992,37,37,3194,35.5,23,7,30,23,0,0,2,0,15.9,15.9,7.5,23.4,116,90,242,0.647887323943662,0.19718309859154928,0.8450704225352113,0.647887323943662,0.8450704225352113,0.447887323943662,0.2112676056338028,0.6591549295774648,0.447887323943662,0.6591549295774648,35.5,23,91,53,58.24175824175825,2.563380281690141,1.4929577464788732,0.25274725274725274,0.4339622641509434,2,0,0,0.17472527472527474,7.1,7.1,928,1219,76.12797374897457,12453,3148,569,623,91.3322632423756,239,316,75.63291139240506,48,151,31.788079470198678,7,7.5,5.6,-0.5,72,33,42,4,90,1219,1007,207,37,2,3,197,7,157,66,53,0,928,5,33,135,3.8028169014084505,82,35,2,9,6,1,13,0.36619718309859156,7,3,0,0,3,0,15,6,5,7,3,5,23,21.73913043478261,18,27,6,21,14,28,8,0,1545,15,146,564,867,146,1545,92,51,55.434782608695656,40,43.47826086956522,912,6351,3123,116,68,50,75,46,1078,242,86.32432432432432,37,21,0,0,68,32,36,1.0140845070422535,54.7,32.4,22.3,0.6281690140845071,0,15,38,18,197,14,6,2,0,0,144,16,35,31.372549019607842,5,0,0.0,0.0,0.0,0.0,0.0,0.0033602150537634,0.003556187766714
Sebastien Haller,2021-2022,27,1994,31,31,2568,28.5,21,7,28,19,2,2,4,0,21.7,20.2,6.6,26.7,21,66,216,0.7368421052631579,0.24561403508771928,0.9824561403508771,0.6666666666666666,0.9122807017543859,0.7614035087719297,0.23157894736842105,0.9929824561403507,0.7087719298245614,0.9368421052631579,28.5,21,98,40,40.816326530612244,3.43859649122807,1.4035087719298245,0.21428571428571427,0.525,0,2,2,0.20612244897959184,-0.7,-1.2,542,776,69.84536082474226,6854,1118,336,443,75.84650112866818,132,181,72.92817679558011,18,32,56.25,7,6.6,5.4,0.4,44,37,16,0,66,776,730,40,0,1,3,6,1,0,0,0,0,542,6,20,79,2.7719298245614037,58,0,1,14,6,0,12,0.42105263157894735,9,0,0,2,1,0,19,7,1,9,9,4,17,23.52941176470588,13,19,2,17,2,21,21,0,1116,26,64,423,640,253,1114,37,23,62.16216216216216,14,37.83783783783784,590,2058,646,21,11,12,75,43,849,216,82.83870967741936,31,20,0,0,82,16,66,2.3157894736842106,79.7,24.8,54.9,1.9263157894736842,0,29,33,11,6,2,7,1,0,0,91,114,65,63.687150837988824,2,0,1.0,0.0,0.0,0.0,0.0,0.0013440860215053,0.0014224751066856
Trent Alexander-Arnold,2021-2022,22,1998,35,35,3153,35.0,2,13,15,2,0,0,2,0,2.4,2.4,12.0,14.4,53,267,201,0.05714285714285714,0.37142857142857144,0.42857142857142855,0.05714285714285714,0.42857142857142855,0.06857142857142857,0.34285714285714286,0.4114285714285714,0.06857142857142857,0.4114285714285714,35.0,2,55,15,27.27272727272727,1.5714285714285714,0.42857142857142855,0.03636363636363636,0.13333333333333333,8,0,0,0.04363636363636363,-0.4,-0.4,2039,2757,73.95719985491476,40112,15683,841,964,87.24066390041494,811,1048,77.3854961832061,344,636,54.088050314465406,13,12.0,13.0,0.0,90,245,85,25,267,2757,2204,548,93,17,69,294,324,131,29,89,0,2039,5,34,160,4.571428571428571,96,53,3,7,1,0,18,0.5142857142857142,13,4,0,1,0,0,40,29,19,13,8,27,60,45.0,33,22,4,18,45,83,40,0,3036,71,602,1386,1070,83,3036,39,19,48.717948717948715,20,51.28205128205128,1504,5687,2824,53,55,14,41,19,1897,201,90.08571428571429,35,33,0,2,86,25,61,1.7428571428571429,74.1,30.0,44.1,1.26,0,12,9,12,294,45,29,0,0,0,235,15,13,53.57142857142857,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Vinicius Junior,2021-2022,21,2000,37,32,2866,31.9,17,10,27,17,0,0,6,0,12.3,12.3,8.0,20.3,225,123,485,0.5329153605015674,0.31347962382445144,0.8463949843260189,0.5329153605015674,0.8463949843260189,0.38557993730407525,0.25078369905956116,0.6363636363636365,0.38557993730407525,0.6363636363636365,31.9,17,84,44,52.38095238095239,2.633228840125392,1.3793103448275863,0.20238095238095238,0.38636363636363635,0,0,0,0.14642857142857144,4.7,4.7,1075,1289,83.39798293250583,14515,2865,684,759,90.11857707509881,269,315,85.39682539682539,52,72,72.22222222222221,10,8.0,7.7,2.0,68,32,68,7,123,1289,1263,20,5,5,12,44,9,5,0,0,0,1075,6,35,188,5.893416927899687,129,1,27,9,19,3,28,0.877742946708464,18,0,5,1,3,1,46,27,23,19,4,15,50,30.0,35,25,0,25,6,52,6,0,1729,7,149,434,1172,228,1729,209,95,45.45454545454545,114,54.54545454545454,1373,10475,6171,225,119,110,86,59,1476,485,77.45945945945945,32,15,5,0,67,23,44,1.3793103448275863,54.9,31.0,23.9,0.7492163009404389,0,34,83,26,44,6,27,4,0,0,105,3,8,27.27272727272727,61,0,1.0,1.0,0.0,0.0,0.0,0.0409946236559139,0.0433854907539118
Virgil van Dijk,2021-2022,30,1991,39,39,3510,39.0,3,1,4,3,0,0,3,0,2.0,2.0,1.5,3.6,11,145,4,0.07692307692307693,0.02564102564102564,0.10256410256410256,0.07692307692307693,0.10256410256410256,0.05128205128205128,0.038461538461538464,0.08974358974358974,0.05128205128205128,0.09230769230769231,39.0,3,38,14,36.84210526315789,0.9743589743589743,0.358974358974359,0.07894736842105263,0.21428571428571427,1,0,0,0.05263157894736842,1.0,1.0,2376,2655,89.49152542372882,46859,18162,780,848,91.98113207547169,1298,1375,94.39999999999999,278,395,70.37974683544303,1,1.5,1.0,-0.5,9,156,4,0,145,2655,2575,78,71,6,18,0,7,0,0,0,0,2376,2,5,31,0.7948717948717948,22,1,0,6,0,2,6,0.15384615384615385,4,0,0,2,0,0,16,11,11,5,0,11,16,68.75,5,21,14,7,32,47,109,0,2894,300,1296,1514,90,57,2894,8,6,75.0,2,25.0,1717,6530,3379,11,4,0,5,3,2096,4,90.0,39,38,0,1,95,25,70,1.794871794871795,80.9,29.1,51.8,1.3282051282051281,0,11,10,0,0,32,11,0,0,0,204,117,34,77.48344370860927,1,0,0.0,0.0,1.0,0.0,0.0,0.0006720430107526,0.0007112375533428
Antoine Griezmann,2022-2023,31,1991,49,41,3756,41.8,15,20,35,15,0,0,4,0,13.0,13.0,16.900000000000002,29.9,109,207,233,0.35885167464114837,0.47846889952153115,0.8373205741626795,0.35885167464114837,0.8373205741626795,0.31100478468899523,0.40430622009569384,0.7153110047846891,0.31100478468899523,0.715311004784689,41.8,15,123,48,39.02439024390244,2.9425837320574164,1.1483253588516746,0.12195121951219512,0.3125,6,0,0,0.10569105691056911,2.0,2.0,1494,1926,77.57009345794393,23876,6821,808,909,88.88888888888889,473,599,78.96494156928213,146,273,53.47985347985348,20,16.900000000000002,13.4,2.1,105,143,68,18,207,1926,1731,188,54,20,25,186,7,100,55,28,0,1494,7,44,195,4.6650717703349285,130,35,10,9,8,3,29,0.6937799043062202,21,5,1,2,0,0,63,48,24,28,11,23,71,32.3943661971831,48,42,6,36,38,95,38,0,2355,56,298,1123,965,167,2354,93,51,54.83870967741935,33,35.483870967741936,1304,6918,3478,109,70,29,47,44,1695,233,76.65306122448979,41,30,8,0,81,36,45,1.0765550239234452,66.4,41.8,24.6,0.5885167464114833,0,28,55,16,186,38,48,0,0,0,184,33,38,46.478873239436616,4,0,0.0,0.0,0.0,0.0,0.0,0.0027173913043478,0.0027529249827942
Bernardo Silva,2022-2023,27,1994,44,32,2919,32.5,4,5,9,4,0,0,7,0,2.4000000000000004,2.4000000000000004,3.7,5.9,108,148,205,0.12307692307692308,0.15384615384615385,0.27692307692307694,0.12307692307692308,0.27692307692307694,0.07384615384615385,0.11384615384615385,0.1876923076923077,0.07384615384615385,0.18153846153846154,32.5,4,28,9,32.142857142857146,0.8615384615384616,0.27692307692307694,0.14285714285714285,0.4444444444444444,0,0,0,0.08571428571428573,1.6,1.6,1573,1835,85.72207084468666,25000,4382,859,924,92.96536796536796,550,622,88.42443729903538,112,179,62.56983240223464,5,3.7,4.3,1.2999999999999998,36,92,36,11,148,1835,1742,90,25,3,12,85,50,12,0,2,0,1573,3,35,88,2.707692307692308,76,2,4,1,4,1,15,0.46153846153846156,14,0,0,0,1,0,46,33,11,27,8,19,46,41.30434782608695,27,26,6,20,23,64,6,0,2082,38,321,966,811,100,2082,68,29,42.64705882352941,30,44.11764705882353,1327,8688,4349,108,87,31,34,35,1562,205,66.3409090909091,32,19,12,4,83,29,54,1.6615384615384616,54.5,27.7,26.8,0.8246153846153846,0,38,23,2,85,23,33,1,0,0,154,5,15,25.0,20,0,1.0,1.0,1.0,0.0,0.0,0.0135869565217391,0.013764624913971
