player,season,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Jude Bellingham,2425,62,6009,42,39,3518,39.0,12,10,22,11,1,2,8,2,12.0,10.5,4.3,14.8,100,235,179,0.8500000000000001,0.6699999999999999,1.51,0.81,1.48,0.5,0.2,0.7000000000000001,0.4499999999999999,0.65,39.0,12,77,30,132.2,5.73,2.45,0.55,1.23,29.299999999999997,0,1,2,0.28,-1.0,-0.5,1644,1911,171.8,26193,5651,894,979,183.4,582,665,173.5,132,166,162.2,10,4.3,5.6,4.699999999999999,48,158,36,0,235,1911,1846,54,24,25,22,29,14,1,0,0,0,1644,11,35,124,6.47,102,1,5,9,3,4,17,1.03,15,0,0,1,1,0,76,49,23,32,21,30,51,88.9,21,44,3,41,34,108,30,2,2324,41,287,1144,923,144,2322,112,58,100.6,43,77.8,1529,7942,3736,100,82,23,66,54,1908,179,266,226.9,39,290,26,3,59,1,5.65,79,46,33,2.03,-1.13,60.3,39.8,20.5,0.65,-0.0099999999999999,0,44,94,11,29,34,49,1,0,0,124,37,44,84.2
Khvicha Kvaratskhelia,2425,114,10005,39,33,2722,30.299999999999997,10,6,16,9,1,1,1,0,8.399999999999999,7.699999999999999,9.2,16.8,140,110,239,1.03,0.52,1.5599999999999998,0.96,1.48,0.9,0.92,1.82,0.8400000000000001,1.76,30.299999999999997,10,101,37,160.10000000000002,16.37,5.89,0.37,1.02,62.599999999999994,5,1,1,0.34,1.6,1.2999999999999998,888,1094,241.1,13473,3470,525,573,275.4,274,324,262.5,62,123,124.9,6,9.2,7.3,-3.1999999999999997,61,66,48,9,110,1094,977,111,23,12,8,109,18,65,34,17,0,888,6,29,130,13.659999999999998,90,14,12,5,6,3,14,1.25,10,0,3,1,0,0,38,31,8,26,4,20,44,133.2,24,22,2,20,6,44,13,0,1457,8,105,567,814,156,1456,155,55,110.3,82,155.5,927,6982,3829,140,105,70,49,52,1115,239,364,230.8,33,435,12,6,58,4,10.74,56,24,32,6.42,0.8300000000000003,48.2,28.3,20.0,0.7699999999999996,3.11,0,29,63,0,109,6,31,0,0,0,85,7,16,81.9
Kylian Mbappe,2425,75,5994,43,40,3607,40.099999999999994,34,4,38,26,8,10,4,1,28.799999999999997,20.700000000000003,8.4,29.1,178,167,441,1.91,0.28,2.2,1.5,1.79,1.37,0.37,1.73,0.99,1.35,40.099999999999994,34,186,87,120.5,13.36,5.4,0.3399999999999999,0.8200000000000001,34.7,4,8,10,0.21,3.1999999999999997,3.3000000000000003,1107,1327,169.7,16078,2913,671,756,180.5,295,344,172.1,76,93,172.8,4,8.4,7.6,-4.4,54,88,62,4,167,1327,1248,73,4,6,24,42,13,8,1,1,0,1107,6,37,160,9.36,99,3,31,18,9,0,16,0.65,9,1,2,3,1,0,9,5,2,3,4,1,7,20.0,6,7,1,6,1,10,1,1,1810,2,46,498,1283,359,1800,221,100,94.4,106,92.8,1259,8259,4448,178,109,116,90,55,1563,441,238,203.9,40,257,25,3,53,1,5.59,80,40,40,2.44,0.37,76.3,39.7,36.599999999999994,1.59,0.98,0,27,49,46,42,1,5,3,0,0,46,6,6,140.0
Lamine Yamal,2425,50,6021,47,42,3821,42.4,12,22,34,12,0,0,4,0,11.6,11.6,16.7,28.4,212,183,476,0.8500000000000001,2.0999999999999996,2.94,0.8500000000000001,2.94,0.64,0.94,1.58,0.64,1.58,42.4,12,181,62,118.2,11.46,4.45,0.2299999999999999,0.56,40.0,3,0,0,0.17,-1.6,-1.6,1319,1758,151.89999999999998,18460,5184,827,955,175.5,372,507,149.3,63,141,88.6,22,16.7,13.6,0.2999999999999999,83,83,107,19,183,1758,1685,64,7,35,4,141,25,32,12,0,0,1319,9,66,219,11.47,137,4,41,21,12,4,33,1.63,24,0,5,2,2,0,53,36,13,21,19,21,47,97.7,26,18,0,18,23,72,5,0,2379,11,122,740,1562,259,2379,349,173,87.3,146,95.0,1681,11493,5991,212,110,109,113,56,1936,476,246,240.8,42,260,24,5,60,0,8.09,123,37,86,6.15,3.24,90.9,35.6,55.3,2.62,2.48,0,44,76,23,141,23,36,2,0,0,137,2,5,58.3
Lautaro Martinez,2425,52,3994,33,32,2682,29.8,12,3,15,12,0,0,1,0,13.5,13.5,4.3,17.8,34,68,197,0.42,0.11,0.53,0.42,0.53,0.47,0.15,0.62,0.47,0.62,29.8,12,106,35,58.3,6.63,1.95,0.12,0.35,13.8,0,0,0,0.13,-1.5,-1.5,472,634,74.4,7494,1609,264,324,81.5,152,198,76.8,41,56,73.2,3,4.3,4.3,-1.3,36,41,22,1,68,634,596,30,3,9,10,13,2,0,0,0,0,472,8,21,77,2.7,58,0,2,12,4,1,8,0.28,5,0,1,2,0,0,30,16,10,12,8,13,25,52.0,12,21,3,18,10,40,15,0,981,15,84,413,494,162,981,47,17,36.2,25,53.2,625,2739,1101,34,27,12,70,54,754,197,142,107.8,32,173,16,1,28,2,3.5,58,30,28,-1.2,-4.06,48.7,25.8,23.0,0.81,0.01,0,43,45,24,13,10,16,0,0,0,73,35,38,47.9
Michael Olise,2425,44,4002,36,29,2438,27.1,12,16,28,12,0,0,3,0,9.7,9.7,12.0,21.7,119,184,381,0.46,1.45,1.91,0.46,1.91,0.38,0.46,0.84,0.38,0.84,27.1,12,88,36,41.9,5.05,1.39,0.14,0.33,17.6,7,0,0,0.11,2.3,2.3,1290,1585,81.4,19018,5660,809,881,91.8,397,474,83.8,67,143,46.9,16,12.0,12.5,3.0,90,89,111,13,184,1585,1451,128,14,25,7,136,41,72,45,3,0,1290,6,44,169,6.51,121,17,15,7,9,0,25,0.96,13,3,2,3,4,0,36,24,10,21,5,17,38,44.7,21,23,1,22,8,44,16,2,1957,18,107,665,1208,148,1957,151,72,47.7,60,39.7,1305,7418,3808,119,69,46,59,29,1556,381,121,114.8,29,168,11,7,38,1,3.91,72,24,48,2.68,-3.06,61.1,20.4,40.7,1.57,-0.35,0,23,69,5,136,8,24,2,0,0,105,11,12,47.8
Mohamed Salah,2425,32,1992,38,38,3371,37.5,29,18,47,20,9,9,1,0,25.2,18.2,14.2,32.4,155,144,488,0.77,0.48,1.25,0.53,1.01,0.67,0.38,1.05,0.49,0.87,37.5,29,121,50,41.3,3.23,1.33,0.17,0.4,14.5,1,9,9,0.15,3.8,1.8,892,1263,70.6,13343,3919,501,601,83.4,302,433,69.7,59,100,59.0,18,14.2,9.1,3.8,88,53,93,15,144,1263,1227,30,7,19,3,79,23,0,0,0,0,892,6,62,169,4.51,123,2,22,14,5,3,27,0.72,20,0,5,2,0,0,21,11,7,5,9,8,17,47.1,9,12,0,12,9,30,5,0,1695,11,97,500,1119,356,1686,137,58,42.3,72,52.6,1150,6909,3700,155,59,127,116,67,1407,488,89,98.6,38,89,29,0,0,0,2.21,85,40,45,1.2,1.2,81.6,38.1,43.5,1.16,1.05,0,25,39,18,79,9,11,0,0,0,101,9,14,39.1
Nico Williams,2425,65,6006,37,29,2639,29.4,8,6,14,8,0,0,1,0,5.2,5.2,5.1,10.3,150,90,321,1.2,0.41,1.6,1.2,1.6,0.37,0.4599999999999999,0.83,0.37,0.83,29.4,8,68,24,129.2,6.23,2.6,0.6,1.4300000000000002,33.7,1,0,0,0.1699999999999999,1.8,1.8,676,925,151.9,10407,2465,402,464,178.10000000000002,197,265,147.3,56,120,97.4,6,5.1,6.300000000000001,0.9,53,27,44,12,90,925,836,84,11,1,5,152,12,61,26,21,0,676,5,41,138,9.81,84,20,22,3,6,3,15,0.96,10,2,2,0,1,0,31,21,10,12,9,12,37,54.4,25,25,1,24,8,38,10,0,1344,8,100,398,877,140,1344,223,81,72.5,125,113.9,885,6829,3723,150,71,68,70,57,977,321,227,204.8,29,254,15,8,87,1,5.33,46,22,24,1.91,0.7300000000000001,40.7,25.700000000000003,15.0,1.5,1.01,0,26,40,15,152,8,21,0,0,0,119,13,20,79.3
Nuno Mendes,2425,65,6006,33,26,2455,27.3,1,4,5,1,0,0,3,0,2.4000000000000004,2.4000000000000004,5.0,7.4,69,158,133,0.05,0.41,0.4599999999999999,0.05,0.4599999999999999,0.1699999999999999,0.28,0.45,0.1699999999999999,0.45,27.3,1,27,11,109.6,2.52,0.91,0.05,0.11,39.5,1,0,0,0.16,-1.4,-1.4,1615,1853,175.10000000000002,27856,7853,747,813,184.2,724,806,181.7,125,179,125.2,4,5.0,4.199999999999999,-2.0,33,155,36,14,158,1853,1652,198,41,3,29,89,148,9,5,3,0,1615,3,25,80,5.88,59,6,5,4,4,2,7,0.5700000000000001,6,1,0,0,0,0,42,27,22,15,5,29,50,113.5,21,31,10,21,30,65,48,2,2130,67,464,1133,554,51,2130,74,38,91.8,35,106.3,1268,6164,4010,69,51,15,33,30,1531,133,247,200.2,26,277,19,7,69,5,6.98,64,22,42,4.3,0.1699999999999999,56.599999999999994,17.2,39.3,2.8899999999999997,0.8,0,21,35,2,89,30,27,1,1,0,122,25,16,124.4
Ousmane Dembele,2425,80,5991,38,27,2420,26.9,24,7,31,23,1,1,2,0,17.1,16.3,9.4,25.7,159,151,298,1.91,0.5800000000000001,2.49,1.86,2.4400000000000004,1.01,0.75,1.76,0.97,1.72,26.9,24,125,59,106.4,12.72,5.26,0.35,0.74,35.4,0,1,1,0.23,3.9,3.7,963,1244,146.6,15519,4150,519,613,168.0,329,406,150.2,88,137,118.6,7,9.4,8.1,-3.4000000000000004,77,99,63,5,151,1244,1140,96,13,15,11,141,5,64,17,24,0,963,8,45,137,13.06,90,22,12,7,5,1,17,1.32,12,0,1,2,2,0,19,10,0,12,7,7,15,133.3,8,10,0,10,10,29,4,2,1551,4,60,553,952,186,1550,127,57,91.1,62,88.1,1037,7509,4326,159,105,78,49,32,1288,298,214,177.5,27,252,8,11,108,3,6.18,69,22,47,3.99,-0.95,59.1,20.6,38.400000000000006,2.71,0.98,0,18,22,13,141,10,10,2,0,0,51,7,8,100.0
