Name,Season,Finalist,Voting Points,Winner,League Winner,UCL Winner,Cup Winner,Major International Continental Trophy Winner,World Cup Winner
Scott McTominay,2024-2025,1,45,0,1,0,0,0,0
Joao Neves,2024-2025,1,40,0,1,1,1,0,0
Serhou Guirassy,2024-2025,1,25,0,0,0,0,0,0
Alexis Mac Allister,2024-2025,1,21,0,1,0,0,0,0
Harry Kane,2024-2025,1,112,0,1,0,0,0,0
Fabian Ruiz Pena,2024-2025,1,20,0,1,1,1,0,0
Denzel Dumfries,2024-2025,1,20,0,0,0,0,0,0
Khvicha Kvaratskhelia,2024-2025,1,123,0,1,1,1,0,0
Kylian Mbappe,2024-2025,1,378,0,0,0,0,0,0
Lamine Yamal,2024-2025,1,1059,0,1,0,1,0,0
Lautaro Martinez,2024-2025,1,37,0,0,0,0,0,0
Declan Rice,2024-2025,1,13,0,0,0,0,0,0
Virgil van Dijk,2024-2025,1,7,0,1,0,0,0,0
Mohamed Salah,2024-2025,1,657,0,1,0,0,0,0
Ousmane Dembele,2024-2025,1,1380,1,1,1,1,0,0
Florian Wirtz,2024-2025,1,5,0,0,0,0,0,0
Michael Olise,2024-2025,1,4,0,1,0,0,0,0
Vinicius Junior,2024-2025,1,51,0,0,0,0,0,0
Vitinha,2024-2025,1,703,0,1,1,1,0,0
