Name,Season,Voting Points,Winner,ActualVoteShare,Temperature,PredVoteShare_mean,PredVoteShare_p05,PredVoteShare_p95,P_rank1,P_rank<=3,P_rank<=5
Ousmane Dembele,2024-2025,1380,1,0.2113970588235294,0.12,0.08635344036920467,0.05368947742172426,0.12555241078318458,0.89625,0.9725,0.99
Robert Lewandowski,2024-2025,49,0,0.0075061274509803,0.12,0.0493182012891862,0.03429769845257011,0.06930095079469843,0.0375,0.45875,0.66875
Pedri,2024-2025,124,0,0.0189950980392156,0.12,0.048204450988163686,0.0309390267252052,0.07479852746935005,0.04,0.40625,0.6025
Jude Bellingham,2024-2025,21,0,0.0032169117647058,0.12,0.04593033195492891,0.03488921694908748,0.0576420401388812,0.00375,0.3475,0.62625
Kylian Mbappe,2024-2025,378,0,0.0579044117647058,0.12,0.04344826855343571,0.03352732306970051,0.054932849171531906,0.00625,0.24625,0.43875
Michael Olise,2024-2025,4,0,0.0006127450980392,0.12,0.042278287442155914,0.03258781489666415,0.05210039856660389,0.0,0.1375,0.39625
Serhou Guirassy,2024-2025,25,0,0.003829656862745,0.12,0.0407421775472068,0.030687369439567996,0.05341391803031583,0.0,0.125,0.29
Harry Kane,2024-2025,112,0,0.017156862745098,0.12,0.04016140307823873,0.02945659885973596,0.05411230777703076,0.0075,0.065,0.24
Khvicha Kvaratskhelia,2024-2025,123,0,0.0188419117647058,0.12,0.03613137112134266,0.025117106070961463,0.04909799296492152,0.0,0.06125,0.1425
Florian Wirtz,2024-2025,5,0,0.000765931372549,0.12,0.035909055285333065,0.023162978830585112,0.050251848981953555,0.00125,0.0775,0.17125
Joao Neves,2024-2025,40,0,0.0061274509803921,0.12,0.034819924240764695,0.026839685219883256,0.04436934785567433,0.0,0.00125,0.0425
Mohamed Salah,2024-2025,657,0,0.1006433823529411,0.12,0.03368782456800267,0.02537014984050651,0.04247654061786051,0.0,0.00625,0.04375
Fabian Ruiz Pena,2024-2025,20,0,0.003063725490196,0.12,0.03336279614029961,0.025271591986667126,0.04324036249131409,0.00125,0.01,0.05375
Raphinha,2024-2025,620,0,0.0949754901960784,0.12,0.03284431007993632,0.0261881181744257,0.04034870233026142,0.0,0.005,0.0175
Lamine Yamal,2024-2025,1059,0,0.1622242647058823,0.12,0.030586116425933528,0.019328511251398606,0.044712717154706705,0.00375,0.01375,0.0525
Vitinha,2024-2025,703,0,0.1076899509803921,0.12,0.030517764707265357,0.01798016578307255,0.044906128243663156,0.0,0.02,0.05875
Desire Doue,2024-2025,74,0,0.0113357843137254,0.12,0.0301525738979735,0.02179502465261012,0.042210075202449064,0.00125,0.0125,0.04375
Viktor Gyokeres,2024-2025,56,0,0.008578431372549,0.12,0.02980798416003559,0.020330221669695614,0.04221821965560252,0.0,0.015,0.04875
Erling Haaland,2024-2025,18,0,0.0027573529411764,0.12,0.029688670633802223,0.022881587179480144,0.037744190822044464,0.0,0.00125,0.00875
Lautaro Martinez,2024-2025,37,0,0.0056678921568627,0.12,0.02955942906001737,0.02229150885240778,0.03690774917515207,0.0,0.0,0.00125
Scott McTominay,2024-2025,45,0,0.0068933823529411,0.12,0.02936052605891988,0.023059204056504058,0.035508999121063804,0.0,0.0,0.00125
Vinicius Junior,2024-2025,51,0,0.0078125,0.12,0.028053115263210315,0.017420953396637608,0.040995214532147,0.0,0.00875,0.03125
Cole Palmer,2024-2025,211,0,0.0323223039215686,0.12,0.027350319882095336,0.019011429589869854,0.03697978052892472,0.0,0.0,0.005
Achraf Hakimi,2024-2025,484,0,0.0741421568627451,0.12,0.02533424524747117,0.016569076415406676,0.03801371625387163,0.0,0.0075,0.02
Declan Rice,2024-2025,13,0,0.0019914215686274,0.12,0.024394116197760617,0.01938352674733871,0.029947481021145448,0.0,0.0,0.0
Virgil van Dijk,2024-2025,7,0,0.0010723039215686,0.12,0.021747388247634097,0.016015945651472432,0.028581198198323776,0.0,0.0,0.0
Nuno Mendes,2024-2025,171,0,0.0261948529411764,0.12,0.021362456954899987,0.015290575049740487,0.02806094778212732,0.0,0.0,0.0
Alexis Mac Allister,2024-2025,21,0,0.0032169117647058,0.12,0.020905552429425014,0.013495172825840031,0.0328348803391881,0.00125,0.00125,0.005
Denzel Dumfries,2024-2025,20,0,0.003063725490196,0.12,0.01798789817535663,0.011525024903637757,0.0249238317786903,0.0,0.0,0.0
