model,alpha,val_spearman,val_pairwise_acc
performance_only_all_per90_durability,0.01,0.53566592299728,0.6923076923076923
performance_only_all_per90_durability,1.0,0.53246276890392,0.6898263027295285
performance_only_all_per90_durability,0.1,0.53196997596648,0.6898263027295285
performance_only_all_per90_durability,10.0,0.51693979137456,0.6898263027295285
performance_only_all_per90_durability,100.0,0.41098930982495996,0.6352357320099256
performance_only_all_per90_durability,1000.0,0.33682397274023995,0.6054590570719603
